回答,送信完了：,コース,グループ,ID,フルネーム,管理者用ユーザ,Q00_経験調査,"Q00_Q2_if_(200,200)","Q00_Q2_if_(180,200)","Q00_Q2_if_(200,170)","Q00_Q2_if_(220,200)","Q00_Q2_if_(190,210)",Q00_age,Q00_sex,Q00_area,Q00_familyhouse,Q00_consensus
2730361,"2024/04/19 16:57:17",産業組織論　０１,,,匿名1,,"3 : １年以上前","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",25,"1 : 男性","3 : 関東地方",1,1
2742697,"2024/04/23 13:17:19",産業組織論　０１,,,匿名2,,"3 : １年以上前","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",27,"1 : 男性","9 : 海外",0,1
2728507,"2024/04/19 12:42:50",産業組織論　０１,,,匿名3,,"1 : 過去半年以内","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",23,"1 : 男性","3 : 関東地方",1,1
2740778,"2024/04/22 23:11:25",産業組織論　０１,,,匿名4,,"2 : 過去半年から１年以内","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","1 : きのこの山を買う",23,"1 : 男性","4 : 中部地方",0,1
2730716,"2024/04/19 18:01:15",産業組織論　０１,,,匿名5,,"3 : １年以上前","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",22,"1 : 男性","3 : 関東地方",1,1
2729720,"2024/04/19 15:18:28",産業組織論　０１,,,匿名6,,"3 : １年以上前","1 : きのこの山を買う","1 : きのこの山を買う","1 : きのこの山を買う","3 : どちらも買わない","1 : きのこの山を買う",22,"2 : 女性","3 : 関東地方",1,1
2737681,"2024/04/22 13:49:38",産業組織論　０１,,,匿名7,,"2 : 過去半年から１年以内","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"2 : 女性","3 : 関東地方",1,1
2746890,"2024/04/24 11:03:04",産業組織論　０１,,,匿名8,,"3 : １年以上前","1 : きのこの山を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","1 : きのこの山を買う",21,"1 : 男性","3 : 関東地方",1,1
2742177,"2024/04/23 11:29:07",産業組織論　０１,,,匿名9,,"2 : 過去半年から１年以内","3 : どちらも買わない","3 : どちらも買わない","2 : たけのこの里を買う","3 : どちらも買わない","3 : どちらも買わない",21,"1 : 男性","2 : 東北地方",0,1
2741573,"2024/04/23 10:19:55",産業組織論　０１,,,匿名10,,"1 : 過去半年以内","2 : たけのこの里を買う","1 : きのこの山を買う","2 : たけのこの里を買う","2 : たけのこの里を買う","2 : たけのこの里を買う",22,"1 : 男性","3 : 関東地方",1,1
