coefname,est_vec,se_vec,est_vec_ml_atr,se_vec_ml_atr,est_vec_rcdc,se_vec_rcdc,est_vec_rcdc_with_atr,se_vec_with_atr
price,0.05744200120945399,0.0038,0.06277782873461175,0.0105,0.1631433896894699,0.0133,0.20062401956487153,0.0307
Kinoko,11.650925972472958,0.7294,12.520366667255557,2.0541,34.79003893874778,2.8013,40.91445539329527,6.0664
Takenoko,12.20232530106866,0.745,12.66086054446038,2.0834,36.04081578997403,2.9032,41.18791580678581,6.1281
sd.price,,,0.012886125123852284,0.0083,0.030951570657523554,0.0046,0.028469124501140156,0.0049
sd.Kinoko,,,3.363405260546299,1.662,1.9548458034203613,0.6456,-2.331927772132585,0.8216
sd.Takenoko,,,3.529228241786291,1.6278,3.9324707760109727,0.4907,4.078269149204721,0.5558
price:genderfemale,,,-0.001863449955281555,0.0098,,,0.03539099674523635,0.0212
Takenoko:genderfemale,,,-0.04573737359067886,1.9363,,,9.900999934563425,4.2457
Kinoko:genderfemale,,,-0.42946094675505675,1.9112,,,9.876947691368143,4.1608
price:familyhouse,,,-0.01750679869616766,0.0078,,,-0.02128544480838868,0.0244
Takenoko:familyhouse,,,-3.324094379206918,1.5434,,,-3.4428553658650776,4.7338
Kinoko:familyhouse,,,-3.663560294505958,1.513,,,-4.386966494990181,4.7081
price:adult,,,0.016415085465339756,0.0165,,,-0.0499952399138575,0.0196
Takenoko:adult,,,0.013270296122961274,0.0181,,,-9.26380460327722,3.8452
Kinoko:adult,,,3.8168118957375983,3.2828,,,-9.949953771833123,3.7811
price:regionKansai,,,2.795776572398634,3.5783,,,0.0021754697482148696,0.0361
price:regionOversea,,,3.364861175026797,3.1883,,,-0.020802785136723404,0.0368
Takenoko:regionKansai,,,3.3898822587194872,3.5733,,,2.1759782484578807,7.1708
Takenoko:regionOversea,,,,,,,-2.7887396140944682,7.2045
Kinoko:regionKansai,,,,,,,1.337665848065893,6.9693
Kinoko:regionOversea,,,,,,,-1.3596629776576763,7.2852
