

Maker        Name                     Price   Marginal Cost   Margin (p-mc)/p
-----------  ---------------------  -------  --------------  ----------------
Audi         A3シリーズ               3.280       2.3045725         0.2973864
Audi         A4シリーズ               5.180       3.5186546         0.3207230
BMW          ミニ                     2.400       1.6424919         0.3156284
BMW          1シリーズ                3.100       2.1721540         0.2993052
BMW          X1                       3.670       2.5684160         0.3001591
BMW          2シリーズ                3.810       2.6612243         0.3015159
BMW          3シリーズ                4.490       3.0919859         0.3113617
Daihatsu     ミラ                     0.885       0.3583615         0.5950717
Daihatsu     ムーヴ                   1.134       0.5779224         0.4903683
Daihatsu     ブーン                   1.150       0.5919350         0.4852739
Daihatsu     キャスト                 1.220       0.6530946         0.4646766
Daihatsu     タント                   1.220       0.6530946         0.4646766
Daihatsu     ウェイク                 1.350       0.7660195         0.4325782
Daihatsu     アトレーワゴン           1.404       0.8126625         0.4211806
Daihatsu     トール                   1.463       0.8634383         0.4098166
Daihatsu     ビーゴ                   1.738       1.0973459         0.3686157
Daihatsu     コペン                   1.852       1.1928669         0.3559034
Daihatsu     メビウス                 2.571       1.7721395         0.3107198
Daihatsu     アルティス               2.745       1.9055523         0.3058097
Fiat         500                      1.998       1.3204514         0.3391134
Nippyo       N-WGN                    1.164       0.6001353         0.4844198
Nippyo       N-ONE                    1.185       0.6184386         0.4781109
Nippyo       N-BOX                    1.270       0.6922947         0.4548861
Nippyo       フィット                 1.300       0.7182716         0.4474834
Nippyo       バモス                   1.374       0.7821395         0.4307573
Nippyo       シャトル                 1.695       1.0554603         0.3773096
Nippyo       グレイス                 1.750       1.1016307         0.3704967
Nippyo       フリード                 1.880       1.2099237         0.3564236
Nippyo       ヴェゼル                 1.920       1.2429991         0.3526047
Nippyo       S660                     1.980       1.2923877         0.3472789
Nippyo       ステップワゴン           2.288       1.5414222         0.3263015
Nippyo       CR-V                     2.470       1.6847911         0.3178984
Nippyo       ジェイド                 2.530       1.7314019         0.3156514
Nippyo       CR-Z                     2.700       1.8616451         0.3105018
Nippyo       オデッセイ               2.760       1.9069581         0.3090731
Nippyo       アコード                 3.850       2.6700234         0.3064874
Nippyo       シビック                 4.280       2.9434205         0.3122849
Nippyo       レジェンド               6.800       4.5028643         0.3378141
Lexas        CT200h                   3.662       2.5550328         0.3022849
Lexas        NX                       4.280       2.9488113         0.3110254
Lexas        HS250h                   4.347       2.9899057         0.3121910
Lexas        IS                       4.700       3.2028687         0.3185386
Lexas        RX                       4.950       3.3512526         0.3229793
Lexas        RC                       5.650       3.7657682         0.3334924
Lexas        GS                       5.770       3.8377497         0.3348787
Lexas        LS                       8.548       5.7126187         0.3317011
Lexas        RCF                      9.670       6.5805658         0.3194865
Lexas        LX570                   11.000       7.6618522         0.3034680
Lexas        GSF                     11.110       7.7531982         0.3021424
Matsuda      キャロル                 0.916       0.3884554         0.5759220
Matsuda      フレア                   1.166       0.6086610         0.4779923
Matsuda      フレアクロスオーバー     1.338       0.7584250         0.4331652
Matsuda      デミオ                   1.350       0.7688160         0.4305067
Matsuda      フレアワゴン             1.361       0.7783341         0.4281160
Matsuda      スクラムワゴン           1.436       0.8430522         0.4129163
Matsuda      アクセラ                 1.760       1.1187613         0.3643402
Matsuda      プレマシー               1.850       1.1941276         0.3545256
Matsuda      ビアンテ                 2.344       1.5968801         0.3187371
Matsuda      CX-3                     2.376       1.6222765         0.3172237
Matsuda      CX-5                     2.446       1.6775164         0.3141797
Matsuda      ロードスター             2.495       1.7159235         0.3122551
Matsuda      アテンザ                 2.765       1.9235782         0.3043117
Matsuda      MPV                      2.777       1.9326476         0.3040520
Mercedes     Aクラス                  2.980       2.0819540         0.3013577
Mercedes     CLA                      3.590       2.5092412         0.3010470
Mercedes     Cクラス                  4.360       3.0014903         0.3115848
Mercedes     GLC                      6.280       4.1583187         0.3378473
Mercedes     Eクラス                  6.750       4.4588582         0.3394284
Mercedes     Sクラス                  9.980       6.8432880         0.3142998
Mitsubishi   eKワゴン                 1.080       0.5347760         0.5048371
Mitsubishi   デリカD:2                1.787       1.1436579         0.3600123
Mitsubishi   RVR                      1.912       1.2480793         0.3472389
Mitsubishi   デリカD:5                2.408       1.6505581         0.3145523
Mitsubishi   アウトランダー           2.520       1.7385596         0.3100954
Mitsubishi   パジェロワゴン           2.927       2.0485430         0.3001220
Brand_A      クリッパーリオ           1.068       0.5196689         0.5134186
Brand_A      デイズ                   1.150       0.5915111         0.4856425
Brand_A      モコ                     1.193       0.6290542         0.4727123
Brand_A      ノート                   1.480       0.8771352         0.4073411
Brand_A      キューブ                 1.620       0.9964221         0.3849246
Brand_A      ウイングロード           1.676       1.0437898         0.3772137
Brand_A      ジューク                 1.738       1.0959904         0.3693956
Brand_A      NV200バネット            1.873       1.2087339         0.3546536
Brand_A      シルフィ                 1.993       1.3078368         0.3437849
Brand_A      キャラバンコーチ         2.035       1.3422637         0.3404110
Brand_A      エクストレイル           2.239       1.5074675         0.3267229
Brand_A      ラフェスタ               2.304       1.5593761         0.3231874
Brand_A      セレナワゴン             2.317       1.5697141         0.3225231
Brand_A      セドリック               2.344       1.5911381         0.3211868
Brand_A      ティアナ                 2.564       1.7632683         0.3122978
Brand_A      エルグランド             3.213       2.2442067         0.3015230
Brand_A      スカイライン             3.893       2.7050769         0.3051434
Brand_A      フェアレディZ            3.910       2.7160910         0.3053476
Brand_A      フーガ                   4.776       3.2543191         0.3186099
Brand_A      シーマ                   7.560       5.0316863         0.3344330
Brand_A      GT-R                     9.961       6.8694786         0.3103626
Brand_B      プレオ                   0.807       0.2919479         0.6382305
Brand_B      ステラ                   1.134       0.5809766         0.4876749
Brand_B      シフォン                 1.285       0.7127770         0.4453097
Brand_B      ディアスワゴン           1.409       0.8201211         0.4179410
Brand_B      トレジア                 1.430       0.8382162         0.4138348
Brand_B      ジャスティ               1.528       0.9223216         0.3963864
Brand_B      インプレッサ             1.598       0.9820437         0.3854545
Brand_B      フォレスター             2.149       1.4404556         0.3297089
Brand_B      エクシーガ               2.484       1.7074501         0.3126207
Brand_B      BRZ                      2.738       1.9031568         0.3049099
Brand_B      レヴォーグ               2.776       1.9319115         0.3040665
Brand_B      レガシィ                 2.938       2.0529313         0.3012487
Brand_B      WRX                      3.348       2.3477896         0.2987486
Suzuki       アルト                   0.778       0.2629785         0.6619813
Suzuki       ハスラー                 1.079       0.5294083         0.5093529
Suzuki       ワゴンR                  1.079       0.5294083         0.5093529
Suzuki       MRワゴン                 1.207       0.6414934         0.4685224
Suzuki       スペーシア               1.274       0.6998433         0.4506725
Suzuki       スイフト                 1.317       0.7371702         0.4402656
Suzuki       イグニス                 1.382       0.7934079         0.4258987
Suzuki       ジムニー                 1.407       0.8149764         0.4207701
Suzuki       エブリイワゴン           1.426       0.8313451         0.4170090
Suzuki       ソリオ                   1.455       0.8562896         0.4114848
Suzuki       ジムニーシエラ           1.747       1.1046264         0.3677010
Suzuki       エクシード               2.128       1.4198991         0.3327542
Suzuki       ランディ                 2.306       1.5633224         0.3220631
Suzuki       キザシ                   2.867       1.9970190         0.3034465
Brand_C      ピクシスエポック         0.766       0.2399710         0.6867219
Brand_C      パッソ                   1.150       0.5752309         0.4997993
Brand_C      ヴィッツ                 1.154       0.5786836         0.4985411
Brand_C      bB                       1.419       0.8053614         0.4324444
Brand_C      iQ                       1.440       0.8231406         0.4283746
Brand_C      タンク                   1.463       0.8425802         0.4240737
Brand_C      ルーミー                 1.463       0.8425802         0.4240737
Brand_C      カローラ                 1.485       0.8611422         0.4201063
Brand_C      ラクティス               1.615       0.9701570         0.3992836
Brand_C      シエンタ                 1.690       1.0325082         0.3890484
Brand_C      ラッシュ                 1.738       1.0721957         0.3830865
Brand_C      アクア                   1.761       1.0911511         0.3803798
Brand_C      スペイド                 1.778       1.1051357         0.3784389
Brand_C      ポルテ                   1.778       1.1051357         0.3784389
Brand_C      オーリス                 1.790       1.1149937         0.3770985
Brand_C      イスト                   1.826       1.1445004         0.3732199
Brand_C      アリオン                 1.898       1.2032055         0.3660667
Brand_C      ウィッシュ               1.906       1.2097024         0.3653188
Brand_C      プレミオ                 1.909       1.2121374         0.3650406
Brand_C      アイシス                 1.990       1.2776008         0.3579896
Brand_C      RAV4                     2.211       1.4533281         0.3426829
Brand_C      ヴォクシー               2.254       1.4870072         0.3402808
Brand_C      ノア                     2.254       1.4870072         0.3402808
Brand_C      コンフォート             2.274       1.5026131         0.3392203
Brand_C      プリウス                 2.429       1.6222650         0.3321264
Brand_C      C-HR                     2.516       1.6883952         0.3289367
Brand_C      トヨタ86                 2.647       1.7865316         0.3250731
Brand_C      マークX                  2.657       1.7939508         0.3248209
Brand_C      エスクァイア             2.658       1.7946921         0.3247960
Brand_C      ハイエースワゴン         2.706       1.8301553         0.3236677
Brand_C      ハリアー                 2.798       1.8974556         0.3218529
Brand_C      アルファード             3.198       2.1796845         0.3184226
Brand_C      ヴェルファイア           3.198       2.1796845         0.3184226
Brand_C      カムリ                   3.208       2.1865240         0.3184152
Brand_C      FJクルーザー             3.240       2.2083403         0.3184135
Brand_C      エスティマ               3.271       2.2293733         0.3184429
Brand_C      SAI                      3.304       2.2516542         0.3185066
Brand_C      クラウン                 3.812       2.5811266         0.3228944
Brand_C      ランドクルーザー         4.728       3.1260318         0.3388258
Brand_C      センチュリー            12.538       8.8289634         0.2958236
Volkswagen   ポロ                     1.999       1.3201259         0.3396068
Volkswagen   ゴルフ                   2.499       1.7220515         0.3109038
Volkswagen   ビートル                 2.699       1.8766610         0.3046828
Volkswagen   パサート                 3.486       2.4478178         0.2978147
Volvo        40シリーズ               3.240       2.2766244         0.2973382
Volvo        60シリーズ               4.540       3.1309450         0.3103645
