

Origin Maker   Name                Nippyo and Brand A   Nippyo and Brand B
-------------  -----------------  -------------------  -------------------
Nippyo         N-WGN                       -0.9800274           -0.3735398
Nippyo         N-ONE                       -0.9615378           -0.3671281
Nippyo         N-BOX                       -0.8978292           -0.3451965
Nippyo         フィット                    -0.8788993           -0.3387413
Nippyo         バモス                      -0.8384657           -0.3250852
Nippyo         シャトル                    -0.7304423           -0.2903292
Nippyo         グレイス                    -0.7190931           -0.2869900
Nippyo         フリード                    -0.6976706           -0.2810869
Nippyo         ヴェゼル                    -0.6923789           -0.2797510
Nippyo         S660                        -0.6854216           -0.2781109
Nippyo         ステップワゴン              -0.6642920           -0.2751378
Nippyo         CR-V                        -0.6603191           -0.2765856
Nippyo         ジェイド                    -0.6600507           -0.2774577
Nippyo         CR-Z                        -0.6616074           -0.2808090
Nippyo         オデッセイ                  -0.6628753           -0.2822648
Nippyo         アコード                    -0.7232485           -0.3223134
Nippyo         シビック                    -0.7541154           -0.3398870
Nippyo         レジェンド                  -0.8175309           -0.3749426
Brand_A        クリッパーリオ              -1.7455320            0.0000000
Brand_A        デイズ                      -1.5939844            0.0000000
Brand_A        モコ                        -1.5292960            0.0000000
Brand_A        ノート                      -1.2506234            0.0000000
Brand_A        キューブ                    -1.1715657            0.0000000
Brand_A        ウイングロード              -1.1461951            0.0000000
Brand_A        ジューク                    -1.1214295            0.0000000
Brand_A        NV200バネット               -1.0774240            0.0000000
Brand_A        シルフィ                    -1.0473718            0.0000000
Brand_A        キャラバンコーチ            -1.0384917            0.0000000
Brand_A        エクストレイル              -1.0049800            0.0000000
Brand_A        ラフェスタ                  -0.9970935            0.0000000
Brand_A        セレナワゴン                -0.9956537            0.0000000
Brand_A        セドリック                  -0.9928014            0.0000000
Brand_A        ティアナ                    -0.9756494            0.0000000
Brand_A        エルグランド                -0.9667036            0.0000000
Brand_A        スカイライン                -0.9880065            0.0000000
Brand_A        フェアレディZ               -0.9886698            0.0000000
Brand_A        フーガ                      -1.0176416            0.0000000
Brand_A        シーマ                      -0.9189211            0.0000000
Brand_A        GT-R                        -0.7309373            0.0000000
Brand_B        プレオ                       0.0000000           -2.7015019
Brand_B        ステラ                       0.0000000           -1.5883454
Brand_B        シフォン                     0.0000000           -1.3888272
Brand_B        ディアスワゴン               0.0000000           -1.2773524
Brand_B        トレジア                     0.0000000           -1.2616996
Brand_B        ジャスティ                   0.0000000           -1.1981654
Brand_B        インプレッサ                 0.0000000           -1.1607702
Brand_B        フォレスター                 0.0000000           -0.9997983
Brand_B        エクシーガ                   0.0000000           -0.9632454
Brand_B        BRZ                          0.0000000           -0.9509910
Brand_B        レヴォーグ                   0.0000000           -0.9499827
Brand_B        レガシィ                     0.0000000           -0.9476066
Brand_B        WRX                          0.0000000           -0.9519346
Brand_C        ピクシスエポック             0.0000000            0.0000000
Brand_C        パッソ                       0.0000000            0.0000000
Brand_C        ヴィッツ                     0.0000000            0.0000000
Brand_C        bB                           0.0000000            0.0000000
Brand_C        iQ                           0.0000000            0.0000000
Brand_C        タンク                       0.0000000            0.0000000
Brand_C        ルーミー                     0.0000000            0.0000000
Brand_C        カローラ                     0.0000000            0.0000000
Brand_C        ラクティス                   0.0000000            0.0000000
Brand_C        シエンタ                     0.0000000            0.0000000
Brand_C        ラッシュ                     0.0000000            0.0000000
Brand_C        アクア                       0.0000000            0.0000000
Brand_C        スペイド                     0.0000000            0.0000000
Brand_C        ポルテ                       0.0000000            0.0000000
Brand_C        オーリス                     0.0000000            0.0000000
Brand_C        イスト                       0.0000000            0.0000000
Brand_C        アリオン                     0.0000000            0.0000000
Brand_C        ウィッシュ                   0.0000000            0.0000000
Brand_C        プレミオ                     0.0000000            0.0000000
Brand_C        アイシス                     0.0000000            0.0000000
Brand_C        RAV4                         0.0000000            0.0000000
Brand_C        ヴォクシー                   0.0000000            0.0000000
Brand_C        ノア                         0.0000000            0.0000000
Brand_C        コンフォート                 0.0000000            0.0000000
Brand_C        プリウス                     0.0000000            0.0000000
Brand_C        C-HR                         0.0000000            0.0000000
Brand_C        トヨタ86                     0.0000000            0.0000000
Brand_C        マークX                      0.0000000            0.0000000
Brand_C        エスクァイア                 0.0000000            0.0000000
Brand_C        ハイエースワゴン             0.0000000            0.0000000
Brand_C        ハリアー                     0.0000000            0.0000000
Brand_C        アルファード                 0.0000000            0.0000000
Brand_C        ヴェルファイア               0.0000000            0.0000000
Brand_C        カムリ                       0.0000000            0.0000000
Brand_C        FJクルーザー                 0.0000000            0.0000000
Brand_C        エスティマ                   0.0000000            0.0000000
Brand_C        SAI                          0.0000000            0.0000000
Brand_C        クラウン                     0.0000000            0.0000000
Brand_C        ランドクルーザー             0.0000000            0.0000000
Brand_C        センチュリー                 0.0000000            0.0000000
