  Maker      Name  p (NippyoA)  q (NippyoA)  p (NippyoB)  q (NippyoB)
 Nippyo     N-WGN     0.527680    -1.200134     0.182095    -0.479762
 Nippyo     N-ONE     0.524919    -1.210878     0.181198    -0.485168
 Nippyo     N-BOX     0.515336    -1.254919     0.178065    -0.507465
 Nippyo      フィット     0.512501    -1.270668     0.177128    -0.515491
 Nippyo       バモス     0.506564    -1.309947     0.175140    -0.535630
 Nippyo      シャトル     0.493864    -1.486358     0.170337    -0.628153
 Nippyo      グレイス     0.493256    -1.517351     0.169943    -0.644756
 Nippyo      フリード     0.493110    -1.591176     0.169322    -0.684727
 Nippyo      ヴェゼル     0.493379    -1.614009     0.169200    -0.697210
 Nippyo      S660     0.494018    -1.648320     0.169063    -0.716080
 Nippyo   ステップワゴン     0.500629    -1.824182     0.168814    -0.814963
 Nippyo      CR-V     0.506160    -1.926369     0.168651    -0.874217
 Nippyo      ジェイド     0.508113    -1.959536     0.168544    -0.893762
 Nippyo      CR-Z     0.513780    -2.051668     0.168015    -0.948922
 Nippyo     オデッセイ     0.515780    -2.083437     0.167730    -0.968259
 Nippyo      アコード     0.540918    -2.571022     0.149162    -1.290586
 Nippyo      シビック     0.543572    -2.717777     0.133760    -1.396811
 Nippyo     レジェンド     0.639345    -3.562688    -0.079106    -1.645174
Brand_A   クリッパーリオ     0.905679    -1.893658    -0.025560    -0.014898
Brand_A       デイズ     0.880465    -1.950294    -0.026910    -0.016796
Brand_A        モコ     0.869204    -1.980265    -0.027678    -0.017856
Brand_A       ノート     0.819077    -2.184062    -0.033832    -0.026160
Brand_A      キューブ     0.805819    -2.284957    -0.037480    -0.031052
Brand_A   ウイングロード     0.801960    -2.325400    -0.039058    -0.033176
Brand_A      ジューク     0.798495    -2.370159    -0.040886    -0.035642
Brand_A NV200バネット     0.793432    -2.467283    -0.045155    -0.041449
Brand_A      シルフィ     0.791237    -2.552822    -0.049284    -0.047135
Brand_A  キャラバンコーチ     0.790883    -2.582497    -0.050803    -0.049246
Brand_A   エクストレイル     0.791477    -2.723900    -0.058720    -0.060439
Brand_A     ラフェスタ     0.792285    -2.767774    -0.061427    -0.064345
Brand_A    セレナワゴン     0.792473    -2.776469    -0.061979    -0.065146
