     Maker  Profits (NippyoA)  Revenues (NippyoA)  Profits (NippyoB)  Revenues (NippyoB)
      Audi        -123.241741         -206.153707        -147.193771         -253.713401
       BMW        -284.874977         -445.371148        -346.438645         -580.057060
   Brand_A        -302.402527       -14470.141299        -540.034293         2210.556911
   Brand_B        -195.865973         -255.658514        -302.215466        -5890.173893
   Brand_C       -1725.457875          852.399704       -2400.245445         -402.771143
  Daihatsu         -94.289191          -63.781956        -186.538417         -233.286646
      Fiat          -3.894041           -4.496631          -5.470944           -8.178085
     Lexas        3039.343211        47873.990675        2817.524307        47718.989561
   Matsuda        -148.420064         -173.210781        -209.549701         -308.496364
  Mercedes        -249.127357        18159.821519        -439.458405        18036.487442
Mitsubishi         -47.764030          -57.343755         -68.445669         -102.184373
    Nippyo        -617.825697       -11285.911571        -726.975655        -5323.187421
    Suzuki         -98.600915          -68.945118        -195.167573         -244.703502
Volkswagen         -84.126379         -116.337329        -108.147580         -173.155349
     Volvo         -85.372580         -142.289820        -102.514602         -179.389024
     Total       -1021.920135        39596.570268       -2960.871859        54266.737653
