                    coeff        se
cons           -13.796844  0.587970
price           -2.359652  0.726184
FuelEfficiency   0.195547  0.012539
hppw            14.446079  3.412510
size             0.548049  0.073788
capacity_d      -0.313456  0.136881
FuelRegular_d   -1.093350  0.276552
Foreign_d        1.036683  0.183495
year_2007       -0.099836  0.151984
year_2008       -0.256140  0.148970
year_2009       -0.490574  0.148449
year_2010       -0.627619  0.165349
year_2011       -0.842768  0.168429
year_2012       -0.703652  0.169326
year_2013       -0.855672  0.171286
year_2014       -1.047657  0.182611
year_2015       -1.149640  0.179888
year_2016       -1.250908  0.182350
random_price     0.701611  0.212752
