

Maker             Profits       Revenues        Profits        Revenues
-----------  ------------  -------------  -------------  --------------
Audi             5.952618      18.979660      3.0075877       9.1100210
BMW             19.898227      60.768812      9.6965768      27.9428067
Brand_A       2145.978062   -5997.985062     31.7351939      74.1662327
Brand_B         29.018220      77.222230    463.4234668   -3810.6596900
Brand_C        299.433534     711.791816    135.5354982     302.2605626
Daihatsu        57.213493     107.420918     23.5440029      42.7554851
Fiat             0.802885       2.106036      0.3549813       0.8847136
Lexas           29.967367      95.229700     15.5931604      47.5924565
Matsuda         31.314674      77.119974     13.7284728      32.3560914
Mercedes        26.158812      82.711406     13.5240365      41.2040397
Mitsubishi      10.790543      25.592878      4.6895641      10.7156459
Nippyo        3254.684141   -3256.889459   1707.2074496    -525.3993720
Suzuki          59.910598     111.208261     24.6300437      44.2992961
Volkswagen      10.290678      29.581130      4.7534635      12.9134817
Volvo            4.920483      15.629339      2.4552079       7.3605358
Total         5986.334333   -7839.512361   2453.8787059   -3682.4976932
