

 lambda_est   lambda_se
-----------  ----------
  0.0991254   0.0129551
  0.1967930   0.0219500
  0.1749271   0.0252517
  0.2332362   0.0323746
  0.2026239   0.0339576
  0.0981873   0.0114280
  0.2326284   0.0208037
  0.1722054   0.0260019
  0.1888218   0.0352626
  0.1993958   0.0352571
  0.1048332   0.0074520
  0.1164057   0.0082279
  0.2001361   0.0166695
  0.2151123   0.0241588
  0.0932607   0.0281448
  0.0960219   0.0078044
  0.0843621   0.0096515
  0.2194787   0.0145337
  0.1906722   0.0249403
  0.1090535   0.0276402
  0.0551885   0.0076634
  0.0466382   0.0095883
  0.1010494   0.0150660
  0.0998834   0.0163368
  0.2059852   0.0179647
  0.0543680   0.0084431
  0.0473978   0.0104127
  0.1036245   0.0163502
  0.0887546   0.0186341
  0.2012082   0.0195717
