HospitalID,CityCode,Kyukyu,Kinou,Sien,Hyoka,DepNeurology,DepNeurosurgery,NumBeds,MRINumOwn,Tesla,Population,Menseki,PopDensity,TaxableIncome,MRIOwnDum
1,1101,1,0,0,0,0,0,243,1,2,220189,46.42,4743.4,3017,1
2,1101,0,0,0,0,0,0,180,1,0,220189,46.42,4743.4,3017,1
3,1101,1,0,0,0,0,0,110,1,1,220189,46.42,4743.4,3017,1
4,1101,1,0,0,0,1,1,134,3,2,220189,46.42,4743.4,3017,1
5,1101,0,0,0,0,0,0,250,1,2,220189,46.42,4743.4,3017,1
6,1101,0,0,0,0,1,0,494,2,2,220189,46.42,4743.4,3017,1
7,1101,0,0,0,0,0,0,312,2,1,220189,46.42,4743.4,3017,1
8,1101,1,0,0,0,0,0,301,1,2,220189,46.42,4743.4,3017,1
9,1101,1,0,0,0,0,0,87,1,1,220189,46.42,4743.4,3017,1
10,1101,0,0,0,0,0,0,99,1,2,220189,46.42,4743.4,3017,1
11,1101,1,0,0,0,1,1,894,2,2,220189,46.42,4743.4,3017,1
12,1101,0,0,0,0,1,0,504,2,2,220189,46.42,4743.4,3017,1
13,1101,1,0,0,0,1,1,810,1,2,220189,46.42,4743.4,3017,1
14,1101,0,0,0,0,0,0,180,1,0,220189,46.42,4743.4,3017,1
15,1101,0,0,0,0,0,0,0,1,0,220189,46.42,4743.4,3017,1
16,1101,0,0,0,0,0,1,92,1,0,220189,46.42,4743.4,3017,1
17,1101,0,0,0,1,0,0,92,1,2,220189,46.42,4743.4,3017,1
18,1101,1,0,0,0,0,0,0,0,,220189,46.42,4743.4,3017,0
19,1101,1,0,0,1,0,0,76,0,,220189,46.42,4743.4,3017,0
20,1101,1,0,0,0,0,0,89,0,,220189,46.42,4743.4,3017,0
21,1101,1,0,0,0,0,0,0,0,,220189,46.42,4743.4,3017,0
22,1101,0,0,0,0,0,0,0,0,,220189,46.42,4743.4,3017,0
23,1101,0,0,0,0,0,0,117,0,,220189,46.42,4743.4,3017,0
24,1101,1,0,0,0,0,0,118,0,,220189,46.42,4743.4,3017,0
25,1101,0,0,0,0,0,0,89,0,,220189,46.42,4743.4,3017,0
26,1101,0,0,0,0,0,0,50,0,,220189,46.42,4743.4,3017,0
