Constant,Distance,Population,Pop_Square,Train,Flight
1,0.3242,0.00064,0,0,0
1,0.04357,0.00122,0,0,0.8
1,0.18669,0.0045,0.00002,0,0.7
1,0.05165,0.0022,0,0,1.3
1,0.39508,0.00378,0.00001,0,0.8
1,0.47204,0.01208,0.00015,0,1.3
1,0.57705,0.00963,0.00009,0,0.9
1,0.54019,0.01164,0.00014,0,1
1,0.67487,0.01022,0.0001,0,0.7
1,0.67603,0.01984,0.00039,0,1.8
1,0.78154,0.01758,0.00031,0,0.5
1,0.7923,0.02044,0.00042,0,0.6
1,1.00387,0.01846,0.00034,0,0.3
1,1.00126,0.00934,0.00009,0,0
1,1.28765,0.04699,0.00221,0,1
1,1.37378,0.01645,0.00027,0,0.7
1,1.37031,0.00624,0.00004,0,1.4
1,1.44816,0.02418,0.00058,0,0.8
1,1.37287,0.00851,0.00007,0,0.6
1,1.4774,0.00669,0.00004,0,1.1
1,1.52049,0.01234,0.00015,0,2
1,1.60579,0.04244,0.0018,0,0.6
1,1.59747,0.01017,0.0001,0,0.8
1,1.77731,0.01243,0.00015,0,0.9
1,1.72022,0.01548,0.00024,0,1.5
1,1.75851,0.00969,0.00009,0,1.7
1,1.81158,0.01474,0.00022,0,3.4
1,2.46702,0.01144,0.00013,0,3.7
1,0.27539,0.0473,0.00224,0,5.9
1,1.66617,0.04244,0.0018,0,7.3
1,0.95236,0.05091,0.00259,0,0.5
1,1.29797,0.07411,0.00549,0,2.4
1,1.20456,0.06098,0.00372,0,2.9
1,1.27213,0.07411,0.00549,0,8.1
1,0.99289,0.10567,0.01117,0,16.4
1,0.27305,0.0473,0.00224,0,0.4
1,1.06272,0.00987,0.0001,0,0.7
1,1.14195,0.06098,0.00372,0,1.9
1,0.28212,0.0011,0,0,0.8
1,0.21391,0.00405,0.00002,0,0.7
1,0.32405,0.00198,0,0,1.3
1,0.42787,0.0034,0.00001,0,0.8
1,0.54095,0.01087,0.00012,0,1.3
1,0.6627,0.00867,0.00008,0,0.9
1,0.66656,0.01048,0.00011,0,1
1,0.785,0.0092,0.00008,0,0.7
