var	IV_Moment_linear	IV_Moment_logit	IV_Moment_logit_spline	MLE_linear	MLE_logit	MLE_logit_spline	Moment_linear	Moment_logit	Moment_logit_spline	OLS_linear	OLS_logit	OLS_logit_spline
フライト	0.6434	0.6012	0.6184	0.6268	0.5422	0.3927	0.6268	0.5422	0.3927	0.9267	0.6496	0.794
人口	1.5228	1.5277	2.1214	1.5157	1.4961	1.2593	1.5157	1.4961	1.2593	0.3039	-0.077	1.7278
人口2乗	-0.2993	-0.2997	-0.4201	-0.2983	-0.2958	-0.2565	-0.2983	-0.2958	-0.2565	-0.0729	-0.0042	-0.3583
定数	-4.0984	-4.1343	-4.4544	-4.0928	-4.1053	-4.0298	-4.0928	-4.1053	-4.0298	-3.8652	-3.6736	-6.6921
新幹線	-4.5761	-5.3285	-5.556	-4.4878	-4.6453	-3.0388	-4.4878	-4.6453	-3.0388	-5.6386	-4.2589	-9.0326
新幹線:フライト	-0.3923	-0.3521	-0.3635	-0.3822	-0.3221	-0.2432	-0.3822	-0.3221	-0.2432	-0.6134	-0.4211	-0.353
新幹線:人口	-0.8948	-0.8945	-1.3501	-0.8927	-0.8913	-0.7458	-0.8927	-0.8913	-0.7458	0.4254	0.2368	-0.5605
新幹線:人口2乗	0.267	0.271	0.3805	0.2659	0.2657	0.2247	0.2659	0.2657	0.2247	0.0335	0.0173	0.288
新幹線:距離	12.2054	12.7582	13.3132	11.9004	11.1866	7.2763	11.9004	11.1866	7.2763	15.2742	11.5268	15.4509
競争	-4.3214	-3.2355	-3.2833	-3.9923	-2.1266	0.8225	-3.9923	-2.1266	0.8225	-7.5963	-2.527	-2.0063
距離	-0.6916	-0.7129	-0.6613	-0.6742	-0.6276	-0.4191	-0.6742	-0.6276	-0.4191	-1.4087	-0.7618	-0.2571
