|var             |OLS_linear |OLS_logit |OLS_logit_spline |MLE_linear |MLE_logit |MLE_logit_spline |Moment_linear |Moment_logit |Moment_logit_spline |IV_Moment_linear |IV_Moment_logit |IV_Moment_logit_spline |
|:---------------|:----------|:---------|:----------------|:----------|:---------|:----------------|:-------------|:------------|:-------------------|:----------------|:---------------|:----------------------|
|定数            |-3.87      |-3.67     |-7.58            |-4.09      |-4.11     |-4.03            |-4.09         |-4.11        |-4.03               |-4.10            |-4.13           |-4.46                  |
|                |(0.08)     |(0.04)    |(0.31)           |(0.28)     |(0.28)    |(0.28)           |(0.28)        |(0.28)       |(0.28)              |(0.27)           |(0.28)          |(0.32)                 |
|距離            |-1.41      |-0.76     |-0.07            |-0.67      |-0.63     |-0.41            |-0.67         |-0.63        |-0.41               |-0.69            |-0.71           |-0.66                  |
|                |(0.08)     |(0.04)    |(0.28)           |(0.23)     |(0.23)    |(0.22)           |(0.24)        |(0.23)       |(0.22)              |(0.24)           |(0.25)          |(0.25)                 |
|人口            |0.30       |-0.08     |1.61             |1.52       |1.50      |1.23             |1.52          |1.50         |1.23                |1.52             |1.53            |2.16                   |
|                |(0.09)     |(0.05)    |(0.35)           |(0.24)     |(0.24)    |(0.25)           |(0.23)        |(0.23)       |(0.25)              |(0.23)           |(0.24)          |(0.35)                 |
|人口2乗         |-0.07      |-0.00     |-0.36            |-0.30      |-0.30     |-0.25            |-0.30         |-0.30        |-0.25               |-0.30            |-0.30           |-0.43                  |
|                |(0.01)     |(0.01)    |(0.06)           |(0.05)     |(0.04)    |(0.05)           |(0.04)        |(0.04)       |(0.04)              |(0.04)           |(0.04)          |(0.06)                 |
|新幹線          |-5.64      |-4.26     |-28.93           |-4.49      |-4.65     |-2.99            |-4.49         |-4.65        |-2.99               |-4.58            |-5.33           |-5.67                  |
|                |(0.27)     |(0.14)    |(0.98)           |(1.57)     |(1.65)    |(1.49)           |(1.81)        |(2.06)       |(1.67)              |(1.61)           |(2.21)          |(2.77)                 |
|フライト        |0.93       |0.65      |0.85             |0.63       |0.54      |0.39             |0.63          |0.54         |0.39                |0.64             |0.60            |0.62                   |
|                |(0.02)     |(0.01)    |(0.06)           |(0.06)     |(0.05)    |(0.04)           |(0.06)        |(0.05)       |(0.05)              |(0.07)           |(0.06)          |(0.08)                 |
|新幹線:距離     |15.27      |11.53     |7.22             |11.90      |11.19     |7.17             |11.90         |11.19        |7.17                |12.21            |12.76           |13.35                  |
|                |(0.63)     |(0.32)    |(2.10)           |(1.98)     |(2.00)    |(1.75)           |(2.19)        |(2.40)       |(1.92)              |(2.12)           |(2.61)          |(3.66)                 |
|新幹線:人口     |0.43       |0.24      |4.99             |-0.89      |-0.89     |-0.72            |-0.89         |-0.89        |-0.72               |-0.89            |-0.89           |-1.38                  |
|                |(0.15)     |(0.08)    |(0.58)           |(0.48)     |(0.48)    |(0.48)           |(0.47)        |(0.49)       |(0.46)              |(0.44)           |(0.51)          |(0.64)                 |
|新幹線:人口2乗  |0.03       |0.02      |-0.21            |0.27       |0.27      |0.22             |0.27          |0.27         |0.22                |0.27             |0.27            |0.39                   |
|                |(0.02)     |(0.01)    |(0.08)           |(0.06)     |(0.06)    |(0.06)           |(0.05)        |(0.05)       |(0.05)              |(0.05)           |(0.05)          |(0.08)                 |
|新幹線:フライト |-0.61      |-0.42     |0.54             |-0.38      |-0.32     |-0.24            |-0.38         |-0.32        |-0.24               |-0.39            |-0.35           |-0.35                  |
|                |(0.03)     |(0.01)    |(0.09)           |(0.07)     |(0.06)    |(0.06)           |(0.07)        |(0.06)       |(0.06)              |(0.06)           |(0.07)          |(0.08)                 |
|競争            |-7.60      |-2.53     |-0.67            |-3.99      |-2.13     |0.96             |-3.99         |-2.13        |0.96                |-4.32            |-3.24           |-3.37                  |
|                |(0.43)     |(0.16)    |(0.87)           |(1.07)     |(0.69)    |(0.45)           |(1.18)        |(0.82)       |(0.45)              |(1.07)           |(1.00)          |(1.20)                 |
|Num. obs.       |1482       |1482      |1482             |1482       |1482      |1482             |1482          |1482         |1482                |1482             |1482            |1482                   |
|R^2             |0.74       |0.89      |0.60             |NA         |NA        |NA               |NA            |NA           |NA                  |NA               |NA              |NA                     |
|Log Likelihood  |-409.74    |-415.05   |-616.33          |-381.31    |-383.40   |-386.28          |-381.31       |-383.40      |-386.28             |-381.35          |-384.65         |-427.73                |
