HospitalID,Prefecture,CityCode,SecondaryAreaName,SecondaryAreaCode,Management,Kyukyu,Kinou,Sien,Hyoka,DepNeurology,DepNeurosurgery,NumBeds,MRINumOwn,Tesla,Population,Menseki,PopDensity,TaxableIncome,MRIOwnDum
1,北海道,1101,札幌,104,共済,1,0,0,0,0,0,243,1,2,220189,46.42,4743.4,3017,1
2,北海道,1101,札幌,104,財団,0,0,0,0,0,0,180,1,0,220189,46.42,4743.4,3017,1
3,北海道,1101,札幌,104,医療法人,1,0,0,0,0,0,110,1,1,220189,46.42,4743.4,3017,1
4,北海道,1101,札幌,104,医療法人,1,0,0,0,1,1,134,3,2,220189,46.42,4743.4,3017,1
5,北海道,1101,札幌,104,医療法人,0,0,0,0,0,0,250,1,2,220189,46.42,4743.4,3017,1
6,北海道,1101,札幌,104,厚生連,0,0,0,0,1,0,494,2,2,220189,46.42,4743.4,3017,1
7,北海道,1101,札幌,104,会,0,0,0,0,0,0,312,2,1,220189,46.42,4743.4,3017,1
8,北海道,1101,札幌,104,会,1,0,0,0,0,0,301,1,2,220189,46.42,4743.4,3017,1
9,北海道,1101,札幌,104,医療法人,1,0,0,0,0,0,87,1,1,220189,46.42,4743.4,3017,1
10,北海道,1101,札幌,104,医療法人,0,0,0,0,0,0,99,1,2,220189,46.42,4743.4,3017,1
11,北海道,1101,札幌,104,公立大学法人,1,0,0,0,1,1,894,2,2,220189,46.42,4743.4,3017,1
12,北海道,1101,札幌,104,医療法人,0,0,0,0,1,0,504,2,2,220189,46.42,4743.4,3017,1
13,北海道,1101,札幌,104,市町村,1,0,0,0,1,1,810,1,2,220189,46.42,4743.4,3017,1
14,北海道,1101,札幌,104,医療法人,0,0,0,0,0,0,180,1,0,220189,46.42,4743.4,3017,1
15,北海道,1101,札幌,104,医療法人,0,0,0,0,0,0,0,1,0,220189,46.42,4743.4,3017,1
16,北海道,1101,札幌,104,医療法人,0,0,0,0,0,1,92,1,0,220189,46.42,4743.4,3017,1
17,北海道,1101,札幌,104,社会福祉法人,0,0,0,1,0,0,92,1,2,220189,46.42,4743.4,3017,1
18,北海道,1101,札幌,104,医療法人,1,0,0,0,0,0,0,0,NA,220189,46.42,4743.4,3017,0
19,北海道,1101,札幌,104,医療法人,1,0,0,1,0,0,76,0,NA,220189,46.42,4743.4,3017,0
20,北海道,1101,札幌,104,医療法人,1,0,0,0,0,0,89,0,NA,220189,46.42,4743.4,3017,0
21,北海道,1101,札幌,104,医療法人,1,0,0,0,0,0,0,0,NA,220189,46.42,4743.4,3017,0
22,北海道,1101,札幌,104,医療法人,0,0,0,0,0,0,0,0,NA,220189,46.42,4743.4,3017,0
23,北海道,1101,札幌,104,医療法人,0,0,0,0,0,0,117,0,NA,220189,46.42,4743.4,3017,0
24,北海道,1101,札幌,104,財団,1,0,0,0,0,0,118,0,NA,220189,46.42,4743.4,3017,0
25,北海道,1101,札幌,104,医療法人,0,0,0,0,0,0,89,0,NA,220189,46.42,4743.4,3017,0
26,北海道,1101,札幌,104,個人,0,0,0,0,0,0,50,0,NA,220189,46.42,4743.4,3017,0
27,北海道,1101,札幌,104,医療法人,1,0,0,0,0,0,82,0,NA,220189,46.42,4743.4,3017,0
28,北海道,1101,札幌,104,医療法人,1,0,0,0,0,0,94,0,NA,220189,46.42,4743.4,3017,0
