,V1,V2,V3,V4,V5,V6,V7,V8
1,1,1,8,2,1,1,0,-1
2,1,2,3,1,1,0,-1,0
3,1,3,1,1,0,0,0,0
4,1,4,5,2,0,0,1,0
5,1,5,7,2,1,0,0,0
6,1,6,3,1,1,0,-1,0
7,1,7,1,1,0,0,1,0
8,1,8,3,1,1,0,0,0
9,1,9,3,1,1,0,0,0
10,1,10,3,1,1,0,0,0
11,1,11,7,2,1,0,0,0
12,1,12,7,2,1,0,0,0
13,1,13,3,1,1,0,0,0
14,1,14,3,1,1,0,-1,0
15,1,15,1,1,0,0,0,0
16,1,16,1,1,0,0,0,1
17,1,17,2,1,0,1,0,-1
18,1,18,1,1,0,0,1,1
19,1,19,4,1,1,1,0,0
20,1,20,4,1,1,1,0,0
21,1,21,4,1,1,1,-1,0
22,1,22,2,1,0,1,0,0
23,1,23,2,1,0,1,0,0
24,1,24,2,1,0,1,0,0
25,1,25,2,1,0,1,0,0
26,1,26,2,1,0,1,1,0
27,1,27,4,1,1,1,0,-1
28,1,28,7,2,1,0,0,0
29,1,29,7,2,1,0,0,0
30,1,30,7,2,1,0,0,0
31,1,31,3,1,1,0,0,1
32,1,32,4,1,1,1,0,0
33,1,33,8,2,1,1,0,-1
34,1,34,3,1,1,0,-1,1
35,1,35,2,1,0,1,0,0
36,1,36,2,1,0,1,0,0
37,1,37,6,2,0,1,0,0
38,1,38,6,2,0,1,0,0
39,1,39,6,2,0,1,1,0
40,1,40,4,1,1,1,0,0
41,1,41,8,2,1,1,0,-1
42,1,42,7,2,1,0,0,0
43,1,43,3,1,1,0,0,0
44,1,44,3,1,1,0,0,1
45,1,45,4,1,1,1,0,0
46,1,46,8,2,1,1,0,0
47,1,47,8,2,1,1,0,0
48,1,48,4,1,1,1,0,0
49,1,49,8,2,1,1,-1,-1
50,1,50,5,2,0,0,0,0
51,2,1,2,1,0,1,1,0
52,2,2,8,2,1,1,0,0
53,2,3,8,2,1,1,0,0
54,2,4,8,2,1,1,-1,0
55,2,5,2,1,0,1,0,0
56,2,6,2,1,0,1,0,0
57,2,7,2,1,0,1,0,0
58,2,8,2,1,0,1,0,0
59,2,9,6,2,0,1,0,0
60,2,10,6,2,0,1,0,0
61,2,11,2,1,0,1,0,0
62,2,12,2,1,0,1,0,0
63,2,13,2,1,0,1,0,0
64,2,14,6,2,0,1,0,0
65,2,15,6,2,0,1,0,0
66,2,16,2,1,0,1,1,0
67,2,17,8,2,1,1,0,-1
68,2,18,3,1,1,0,0,0
69,2,19,3,1,1,0,0,0
70,2,20,7,2,1,0,-1,0
71,2,21,5,2,0,0,0,1
72,2,22,6,2,0,1,1,0
73,2,23,8,2,1,1,0,0
74,2,24,4,1,1,1,-1,0
75,2,25,2,1,0,1,1,0
76,2,26,8,2,1,1,-1,0
77,2,27,2,1,0,1,1,0
78,2,28,4,1,1,1,0,0
79,2,29,4,1,1,1,0,-1
80,2,30,3,1,1,0,0,0
81,2,31,3,1,1,0,0,1
82,2,32,4,1,1,1,0,0
83,2,33,4,1,1,1,0,-1
84,2,34,3,1,1,0,0,0
85,2,35,3,1,1,0,0,0
86,2,36,3,1,1,0,0,0
87,2,37,3,1,1,0,-1,1
88,2,38,2,1,0,1,0,0
89,2,39,2,1,0,1,1,-1
90,2,40,3,1,1,0,0,0
91,2,41,7,2,1,0,0,0
92,2,42,3,1,1,0,0,0
93,2,43,7,2,1,0,0,0
94,2,44,3,1,1,0,0,0
95,2,45,7,2,1,0,0,0
96,2,46,7,2,1,0,0,1
97,2,47,8,2,1,1,0,0
98,2,48,8,2,1,1,0,0
99,2,49,4,1,1,1,0,0
100,2,50,8,2,1,1,0,-1
101,3,1,7,2,1,0,0,0
102,3,2,7,2,1,0,0,0
103,3,3,3,1,1,0,0,1
104,3,4,8,2,1,1,0,0
105,3,5,4,1,1,1,-1,-1
106,3,6,5,2,0,0,0,1
107,3,7,6,2,0,1,0,0
108,3,8,2,1,0,1,0,0
109,3,9,6,2,0,1,0,0
110,3,10,6,2,0,1,0,-1
111,3,11,5,2,0,0,0,0
112,3,12,1,1,0,0,0,0
113,3,13,1,1,0,0,0,0
114,3,14,5,2,0,0,1,0
115,3,15,3,1,1,0,0,0
116,3,16,3,1,1,0,0,0
117,3,17,3,1,1,0,0,1
118,3,18,8,2,1,1,0,0
119,3,19,8,2,1,1,-1,-1
120,3,20,1,1,0,0,0,1
121,3,21,2,1,0,1,0,0
122,3,22,2,1,0,1,1,0
123,3,23,4,1,1,1,0,0
124,3,24,4,1,1,1,0,0
125,3,25,4,1,1,1,0,-1
126,3,26,7,2,1,0,0,0
127,3,27,7,2,1,0,0,0
128,3,28,3,1,1,0,0,1
129,3,29,4,1,1,1,-1,-1
130,3,30,1,1,0,0,0,0
131,3,31,5,2,0,0,0,0
132,3,32,5,2,0,0,0,1
133,3,33,6,2,0,1,1,-1
134,3,34,7,2,1,0,0,0
135,3,35,3,1,1,0,0,0
136,3,36,7,2,1,0,-1,1
137,3,37,6,2,0,1,1,0
138,3,38,4,1,1,1,0,0
139,3,39,4,1,1,1,0,0
140,3,40,8,2,1,1,0,0
141,3,41,8,2,1,1,-1,0
142,3,42,6,2,0,1,0,0
143,3,43,6,2,0,1,0,0
144,3,44,6,2,0,1,0,0
145,3,45,2,1,0,1,0,-1
