"id","dyad","port1","port2"
1,"稚内_根室","稚内","根室"
2,"女満別_根室","女満別","根室"
3,"旭川_根室","旭川","根室"
4,"釧路_根室","釧路","根室"
5,"函館_根室","函館","根室"
6,"青森_根室","青森","根室"
7,"秋田_根室","秋田","根室"
8,"花巻_根室","花巻","根室"
9,"山形_根室","山形","根室"
10,"仙台_根室","仙台","根室"
11,"福島_根室","福島","根室"
12,"新潟_根室","新潟","根室"
13,"松本_根室","松本","根室"
14,"富山_根室","富山","根室"
15,"神戸_根室","神戸","根室"
16,"岡山_根室","岡山","根室"
17,"出雲_根室","出雲","根室"
18,"広島_根室","広島","根室"
19,"高松_根室","高松","根室"
20,"高知_根室","高知","根室"
21,"松山_根室","松山","根室"
22,"北九州_根室","北九州","根室"
23,"大分_根室","大分","根室"
24,"長崎_根室","長崎","根室"
25,"熊本_根室","熊本","根室"
26,"宮崎_根室","宮崎","根室"
27,"鹿児島_根室","鹿児島","根室"
28,"那覇_根室","那覇","根室"
29,"千歳_根室","千歳","根室"
30,"福岡_根室","福岡","根室"
31,"成田_根室","成田","根室"
32,"関西_根室","関西","根室"
33,"中部_根室","中部","根室"
34,"伊丹_根室","伊丹","根室"
35,"羽田_根室","羽田","根室"
36,"丘珠_根室","丘珠","根室"
37,"小松_根室","小松","根室"
38,"小牧_根室","小牧","根室"
39,"女満別_稚内","女満別","稚内"
40,"旭川_稚内","旭川","稚内"
41,"釧路_稚内","釧路","稚内"
42,"函館_稚内","函館","稚内"
43,"青森_稚内","青森","稚内"
44,"秋田_稚内","秋田","稚内"
45,"花巻_稚内","花巻","稚内"
46,"山形_稚内","山形","稚内"
47,"仙台_稚内","仙台","稚内"
48,"福島_稚内","福島","稚内"
49,"新潟_稚内","新潟","稚内"
50,"松本_稚内","松本","稚内"
51,"富山_稚内","富山","稚内"
52,"神戸_稚内","神戸","稚内"
53,"岡山_稚内","岡山","稚内"
54,"出雲_稚内","出雲","稚内"
55,"広島_稚内","広島","稚内"
56,"高松_稚内","高松","稚内"
57,"高知_稚内","高知","稚内"
58,"松山_稚内","松山","稚内"
59,"北九州_稚内","北九州","稚内"
60,"大分_稚内","大分","稚内"
61,"長崎_稚内","長崎","稚内"
62,"熊本_稚内","熊本","稚内"
63,"宮崎_稚内","宮崎","稚内"
64,"鹿児島_稚内","鹿児島","稚内"
65,"那覇_稚内","那覇","稚内"
66,"千歳_稚内","千歳","稚内"
67,"福岡_稚内","福岡","稚内"
68,"成田_稚内","成田","稚内"
69,"関西_稚内","関西","稚内"
70,"中部_稚内","中部","稚内"
71,"伊丹_稚内","伊丹","稚内"
72,"羽田_稚内","羽田","稚内"
73,"丘珠_稚内","丘珠","稚内"
74,"小松_稚内","小松","稚内"
75,"小牧_稚内","小牧","稚内"
76,"旭川_女満別","旭川","女満別"
77,"釧路_女満別","釧路","女満別"
78,"函館_女満別","函館","女満別"
79,"青森_女満別","青森","女満別"
80,"秋田_女満別","秋田","女満別"
81,"花巻_女満別","花巻","女満別"
82,"山形_女満別","山形","女満別"
83,"仙台_女満別","仙台","女満別"
84,"福島_女満別","福島","女満別"
85,"新潟_女満別","新潟","女満別"
86,"松本_女満別","松本","女満別"
87,"富山_女満別","富山","女満別"
88,"神戸_女満別","神戸","女満別"
89,"岡山_女満別","岡山","女満別"
90,"出雲_女満別","出雲","女満別"
91,"広島_女満別","広島","女満別"
92,"高松_女満別","高松","女満別"
93,"高知_女満別","高知","女満別"
94,"松山_女満別","松山","女満別"
95,"北九州_女満別","北九州","女満別"
96,"大分_女満別","大分","女満別"
97,"長崎_女満別","長崎","女満別"
98,"熊本_女満別","熊本","女満別"
99,"宮崎_女満別","宮崎","女満別"
100,"鹿児島_女満別","鹿児島","女満別"
101,"那覇_女満別","那覇","女満別"
102,"千歳_女満別","千歳","女満別"
103,"福岡_女満別","福岡","女満別"
104,"成田_女満別","成田","女満別"
105,"関西_女満別","関西","女満別"
106,"中部_女満別","中部","女満別"
107,"伊丹_女満別","伊丹","女満別"
108,"羽田_女満別","羽田","女満別"
109,"丘珠_女満別","丘珠","女満別"
110,"小松_女満別","小松","女満別"
111,"小牧_女満別","小牧","女満別"
112,"釧路_旭川","釧路","旭川"
113,"函館_旭川","函館","旭川"
114,"青森_旭川","青森","旭川"
115,"秋田_旭川","秋田","旭川"
116,"花巻_旭川","花巻","旭川"
117,"山形_旭川","山形","旭川"
118,"仙台_旭川","仙台","旭川"
119,"福島_旭川","福島","旭川"
120,"新潟_旭川","新潟","旭川"
121,"松本_旭川","松本","旭川"
122,"富山_旭川","富山","旭川"
123,"神戸_旭川","神戸","旭川"
124,"岡山_旭川","岡山","旭川"
125,"出雲_旭川","出雲","旭川"
126,"広島_旭川","広島","旭川"
127,"高松_旭川","高松","旭川"
128,"高知_旭川","高知","旭川"
129,"松山_旭川","松山","旭川"
130,"北九州_旭川","北九州","旭川"
131,"大分_旭川","大分","旭川"
132,"長崎_旭川","長崎","旭川"
133,"熊本_旭川","熊本","旭川"
134,"宮崎_旭川","宮崎","旭川"
135,"鹿児島_旭川","鹿児島","旭川"
136,"那覇_旭川","那覇","旭川"
137,"千歳_旭川","千歳","旭川"
138,"福岡_旭川","福岡","旭川"
139,"成田_旭川","成田","旭川"
140,"関西_旭川","関西","旭川"
141,"中部_旭川","中部","旭川"
142,"伊丹_旭川","伊丹","旭川"
143,"羽田_旭川","羽田","旭川"
144,"丘珠_旭川","丘珠","旭川"
145,"小松_旭川","小松","旭川"
146,"小牧_旭川","小牧","旭川"
147,"函館_釧路","函館","釧路"
148,"青森_釧路","青森","釧路"
149,"秋田_釧路","秋田","釧路"
150,"花巻_釧路","花巻","釧路"
151,"山形_釧路","山形","釧路"
152,"仙台_釧路","仙台","釧路"
153,"福島_釧路","福島","釧路"
154,"新潟_釧路","新潟","釧路"
155,"松本_釧路","松本","釧路"
156,"富山_釧路","富山","釧路"
157,"神戸_釧路","神戸","釧路"
158,"岡山_釧路","岡山","釧路"
159,"出雲_釧路","出雲","釧路"
160,"広島_釧路","広島","釧路"
161,"高松_釧路","高松","釧路"
162,"高知_釧路","高知","釧路"
163,"松山_釧路","松山","釧路"
164,"北九州_釧路","北九州","釧路"
165,"大分_釧路","大分","釧路"
166,"長崎_釧路","長崎","釧路"
167,"熊本_釧路","熊本","釧路"
168,"宮崎_釧路","宮崎","釧路"
169,"鹿児島_釧路","鹿児島","釧路"
170,"那覇_釧路","那覇","釧路"
171,"千歳_釧路","千歳","釧路"
172,"福岡_釧路","福岡","釧路"
173,"成田_釧路","成田","釧路"
174,"関西_釧路","関西","釧路"
175,"中部_釧路","中部","釧路"
176,"伊丹_釧路","伊丹","釧路"
177,"羽田_釧路","羽田","釧路"
178,"丘珠_釧路","丘珠","釧路"
179,"小松_釧路","小松","釧路"
180,"小牧_釧路","小牧","釧路"
181,"青森_函館","青森","函館"
182,"秋田_函館","秋田","函館"
183,"花巻_函館","花巻","函館"
184,"山形_函館","山形","函館"
185,"仙台_函館","仙台","函館"
186,"福島_函館","福島","函館"
187,"新潟_函館","新潟","函館"
188,"松本_函館","松本","函館"
189,"富山_函館","富山","函館"
190,"神戸_函館","神戸","函館"
191,"岡山_函館","岡山","函館"
192,"出雲_函館","出雲","函館"
193,"広島_函館","広島","函館"
194,"高松_函館","高松","函館"
195,"高知_函館","高知","函館"
